ID;TITLE;ABSTRACT;Status;YEAR;AUTHORS;URL;Publisher;Facet: Research Topic;;;;;;;;;;;;;;;;;
11;Cloud computing architectures and dynamic provisioning mechanisms;Cloud computing is a prodigious modern technology committed to provide pool of resources to the on-demand customers. The resources in a cloud are virtualized as a collection of services using the virtualization technology. Efficient provisioning of resources is a lofty problem due to the lively nature and the need to support heterogeneous applications with diverse performance requirements. The performance guarantee from the cloud datacenter requires efficient utilization of the resources. The efficient resource utilization towards any specific Service Level Agreement (SLA) or constraint on Quality of Service (QoS) alone is not sufficient for the cloud computing environments. Thus, cloud computing requires to strike a balance between the performance based on the negotiated QoS as well as the energy consumption at the datacenter during the process of resource provisioning. In this paper, we provide a detailed review of cloud computing architectures and provisioning mechanisms for delivering the computing as a service. We classify the cloud computing architectures discussed in literature based on their significance in cloud services provisioning mechanism. The paper presents taxonomy of dynamic provisioning mechanisms from the cloud utility point of view and brings out salient features/evaluation of existing mechanisms.;;2013;Acharya, Shreenath & D'Mello, Demian Antony;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6823543;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
12;"Energy Efficient Geographical Load Balancing via
Dynamic Deferral of Workload";With the increasing popularity of Cloud computing and Mobile computing, individuals, enterprises and research centers have started outsourcing their IT and computational needs to on-demand cloud services. Recently geographical load balancing techniques have been suggested for data centers hosting cloud computation in order to reduce energy cost by exploiting the electricity price differences across regions. However, these algorithms do not draw distinction among diverse requirements for responsiveness across various workloads. In this paper, we use the flexibility from the Service Level Agreements (SLAs) to differentiate among workloads under bounded latency requirements and propose a novel approach for cost savings for geographical load balancing. We investigate how much workload to be executed in each data center and how much workload to be delayed and migrated to other data centers for energy saving while meeting deadlines. We present an offline formulation for geographical load balancing problem with dynamic deferral and give online algorithms to determine the assignment of workload to the data centers and the migration of workload between data centers in order to adapt with dynamic electricity price changes. We compare our algorithms with the greedy approach and show that significant cost savings can be achieved by migration of workload and dynamic deferral with future electricity price prediction. We validate our algorithms on MapReduce traces and show that geographic load balancing with dynamic deferral can provide 20-30 % cost-savings.;;2012;"Adnan, Muhammad Abdullah; Sugihara, Ryo & Com, Usa Amazon.";http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.396.2492;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
13;An Approach to Build Multi-tenant SaaS Application with Monitoring and SLA;SaaS (Software as a Service) is a modern approach to deliver large scalable enterprise software as a service on Internet. Cloud computing platform provides the scalability, availability and utility computing for services on Internet. There are many technical challenges involved in SaaS development. One of them is multi-tenancy, which allows single instance of software to serve multiple organizations by accommodating their unique requirements through configuration at the same time. SaaS architecture requires the both configuration and some level of customization to achieve higher maturity model. In this paper, we proposed a metadata driven SaaS architecture, which is independent of underlying cloud infrastructure. Proposed architecture includes monitoring, tenant management, tenant administration, tenant configuration and large data management services. In our proposed architecture, we used Memcached concept and it is supported by almost all databases to boost the performance. In addition to this, we have considered application pooling on web server to manage priority among tenants.;;2012;"Aghera, Piyush; Chaudhary, Sanjay & Kumar, Vikas";http://dl.acm.org/citation.cfm?id=2223952.2224325 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6200688;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
14;Enhanced Proximity-Based Routing Policy for Service Brokering in Cloud Computing;Cloud computing delivers infrastructure, platform, and software (applications) as services, which are made available to consumers as subscription-based services under the pay-as-you-go model. CloudAnalyst is a tool that helps developers to simulate large-scale Cloud applications with the purpose of understanding performance of such applications under various deployment configurations. CloudAnalyst deploys different service brokering policies depending on the requirements of the cloud application. The proximity-based routing policy selects nearest data center without taking into account the response time. At times, the proximity-based routing policy may cause overloading of the closest data center. I propose an enhanced proximity-based routing policy that redirects a part/whole of the traffic to the next nearest datacenter in the same region and thereby, reduces overloading of the closest datacenter and avoids SLA violation.;;;Ahmed, A. Sarfaraz;http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.416.9962;;SLA and Cloud;;;;;;;;;;;;;;;;;
15;E-healthcare and data management services in a cloud;E-Healthcare data management is a core issue in a modern hospital. The data generated is enormous due to newer diagnostic techniques. The medical doctors and patients demand a greater life time for medical data records, they require fast data retrieval, and presentation services for Clinical Decision Support Systems (CDSS). The cost on maintaining a data service centre in an average hospital may be substantial both on infrastructure and qualified ICT staff. The availability of large storage capacities and computing resources from Cloud Service Providers (CSP) is seen as an opportunity to save investment by outsourcing information services. Electronic Patient Record (EPR) management is sensitive issue which requires a foolproof security. It is extremely important to develop methods to relieve the clients from problems of security, integrity, availability and cross CSP mobility. We present E-Healthcare models for ubiquitous services for data acquisition archiving and presentation in Cloud. The management issues and security concerns in cloud domains are addressed by a services architecture proposed. The model includes Wireless Sensor Networks besides communication and storage systems for a typical hospital taking advantage of the Cloud Services Architecture (CSA).;;2011;Ahmed, Shaftab & Abdullah, Azween;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6149827;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
16;Autonomic computing architecture for real-time medical application running on virtual private cloud infrastructures;Cloud computing with virtualization technologies has become a huge trend which attracts academia and information technology industries because of its cost-efficiency. It has changed paradigms of development, release, and maintenance of diverse types of software and service. However, this big movement has not been applied to real-time applications yet because deploying real-time applications on the cloud infrastructures arouses many controversies because of numerous uncertainties from sharing physical resources. It is not trivial to apply conventional scheduling techniques for real-time systems to cloud infrastructures without further considerations. All virtual machines (VMs) must be controlled by the Virtual Machine Monitor (VMM) which is centralized and has a primary role to share physical resources fairly with all VMs in the same physical machine (PM). For best-effort applications, this fair resource sharing policy works well and end-to-end Quality of Service (QoS) is promised by the service level agreement (SLA) with reasonable delay windows. However, for real-time applications with aperiodic hard- and soft-real-time tasks, this mechanism has serious weaknesses. Although VMMs of most cloud infrastructures have auto-scaling and load-balancing mechanisms, these are unpredictably slow to accept urgent aperiodic-real-time tasks because of its fair resource sharing policy. Therefore, it is necessary to propose another approach to satisfy deadline constraints of real-time tasks transferred from remote locations. In this research, we focus on cloud medical applications processing sensitive patient data with deadline constraints. We propose feasible solutions to reserve computing and networking resources with an autonomic computing architecture in the virtual private cloud infrastructures.;;2013;Ahn, Yong Woon & Cheng, Albert Mo Kim;http://dl.acm.org/citation.cfm?id=2518148.2518153;ACM;SLA and Cloud;;;;;;;;;;;;;;;;;
17;SLA Based Scheduler for Cloud for Storage \& Computational Services;The proposed work gives novel technique to exploit the cloud for the purpose of qualitative improvement in services being rendered. In this context a service level agreement is executed between the service provider and the user incorporating stipulations regarding terms \& conditions relevant with the transactions. Agreement envisages the provisioning of services to the users at the appointed time and charges commensurate with the market scenario. Besides the interests of the service providers are equally watched upon by allowing negotiations and settlements at par with prevailing market trends, thus ensuring benefits to both the service providers and the users. The scheduler algorithm allows re-provisioning of resources on the cloud in the event of failures. The focus of the model is to provide fair deal to the users and consumers, enhanced quality of service as well as generation of optimal revenue.;;2011;"Ahuja, Ravin; De, Asok & Gabrani, Goldie";http://dl.acm.org/citation.cfm?id=2014696.2014750 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5959568;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
18;Performance Analysis of a Framework for Multi-Interfaced Service Level Agreements on Mobile Devices;Today, the service computing research is focusing on the ubiquitous and on-the-move availability of Internet applications as cloud services. As a result, the mobility is rapidly becoming an important requirement of the future. In addition to that, the integration of mobile and service computing domains enables the existing mobile devices to offer their resources as mobile Web Services (WS). For this reason, these mobile WS are expected to become ubiquitous, as they may be offered by any connected device. Previously, we presented a concept of protecting such mobile WS by using Service Level Agreements (SLA) on mobile devices, where we explained the four primary architectural components of the SLA framework and classified their functions into four fundamental life cycles. In continuation of that, here, we present the detailed performance analysis of the SLA framework, while taking into account the SOAP and REST service access interfaces. Our processing analysis shows the percentage increase due to the SLA overhead compared to the normal unprotected mobile WS. These results are used to evaluate several parameters within the performance metric of the synchronous and asynchronous mobile WS architectures.;;2011;"Aijaz, Fahad; Shaikh, Shuja Jamil & Walke, Bernhard";;;SLA and Cloud;;;;;;;;;;;;;;;;;
19;A framework for multi-interfaced Service Level Agreements on mobile devices;Today, the service computing research is focusing on providing efficient solutions to the challenges of the future Internet applications. The major difference that is created by these applications is their ubiquitous on-the-move availability as cloud services. This means that the mobility is rapidly becoming a fundamental requirement of the future. In addition to that, the integration of mobile and service computing domains has enabled the existing mobile devices to offer their resources as mobile Web Services (WS). For this reason, the provisioning of mobile WS in future networks is expected to become a part of the cloud, where ubiquitous services are offered by any device. This will open new business prospects for the service providers. In this paper, we present the concept of protecting such mobile WS by using Service Level Agreements (SLA) on mobile devices. Here, we propose a framework to offer SLA negotiations and manage the Quality of Service (QoS) of the provisioned mobile WS. Furthermore, the paper explains the four primary architectural components and classifies their functions into four fundamental SLA life cycles. Also, the detailed discussion regarding each life cycle and its relation to the corresponding component(s) is provided. The research addresses some major issues of authentic and authorized access to mobile WS that might become useful as we move towards the future ubiquitous Internet.;;2010;"Aijaz, Fahad; Shaikh, Shuja Jamil & Walke, Bernhard";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5686693;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
20;Cloud Client Prediction Models Using Machine Learning Techniques;One way to proactively provision resources and meet Service Level Agreements (SLA) is by predicting future resource demands a few minutes ahead because of Virtual Machine (VM) boot time. In this research, we have developed and evaluated cloud client prediction models for TPC-W benchmark web application using three machine learning techniques: Support Vector Machine (SVM), Neural Networks (NN) and Linear Regression (LR). We have included two SLA metrics -- Response Time and Throughput with the aim of providing the client with a more robust scaling decision choice. As an improvement to our previous work, we implemented our model on a public cloud infrastructure: Amazon EC2. Furthermore, we extended the experimentation time by over 200\%. Finally, we have employed random workload pattern to reflect a more realistic simulation. Our results show that Support Vector Machine provides the best prediction model.;;2013;Ajila, Samuel A. & Bankole, Akindele A.;http://dl.acm.org/citation.cfm?id=2546398.2546481 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6649808;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
21;Determination of optimal service level in cloud e-marketplaces based on service offering delay;"With the drift of consumers to the E-cloud marketplaces based on different service offerings, waiting time is of great importance to cloud service consumers and also the source of competitive advantage for cloud providers. Keeping customers waiting due to poor level of service leads to service degradation which in turn leads to breach of Service Level Agreement; and this may incur additional cost. We saw an opportunity to determine the optimum service level that minimizes the cost of delay in offering a service and made it our goal. Most researchers have approached this using the exogenous non-priority queue model; which would have been useful where service offerings are not differentiated. Our approach uses the Non-Preemptive queuing modeling. In this approach, the queuing theory is used to get our measure of effectiveness which is then used in our cost model to determine the optimal service level. We conclude that our results are useful where the providers need minimum cost to be incurred for better profit maximization.";;2014;"Akingbesote, A.O; Adigun, M.O; Jembere, E.; Othman, M.A. & Ajayi, I.R";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6914190;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
22;A Framework for SLA-based cloud services verification and composition;"Cloud computing is becoming a key element in service provision on the Internet. Businesses are seizing the availability of infrastructure as service to obtain cost effective infrastructure solutions. However, in businesses the power of services emerges from the ability to combine different services in order to obtain some value added services. Cloud services composition presents some challenges like, service discovery and real time service evaluation; which are addressed in this paper by introducing a primal framework that enables dynamic specification of SLAs, in addition to SLA-based verification and composition of services on the Cloud. The verification is used as input to the composition and consists of verifying the functional and non-functional properties of the cloud service under test. An ongoing prototype implementation will evaluate the verification scheme and prove its importance in composing and selecting services on the cloud.";;2011;Al Falasi, Asma & Adel Serhani, Mohamed;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5893834;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
23;Robust Coordination of Cloud-Internal Denial of Service Attacks;In an Infrastructure as a Service (IaaS) cloud environment, workloads change dynamically with limited insight by service providers into the precise characteristics of client workloads. At the same time, service providers must seek to honour service level agreements (SLA) regarding performance and availability. In this paper we describe and analyse a class of attacks that may target other workloads or the ability of a service provider to satisfy SLA requirements by launching tightly coordinated attack or attack sequence. The attack seeks to utilise resource over-commitment and the cost of migration and related secondary effects such as power management rather than relying on implementation-specific weaknesses that could be mitigated more easily. The effectiveness of the attack depends on the ability to co-locate and precisely modulate workloads of virtual machines (VMs) on a single host. We describe a novel coordination protocol relying on broadcast primitives in memory-based covert channels for dynamic attack group membership and attack initiation based on a broadcast variant of the Jarecki-Kim-Tsudik (JKT) protocol. This protocol requires very limited channel capacity and has O(n + T) message complexity whilst tolerating up to T failures, increasing the difficulty of detection and mitigation.;;2013;Alarifi, Suaad & Wolthusen, Stephen D.;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6686020 http://dl.acm.org/citation.cfm?id=2569433.2569948;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
24;GeoProof: Proofs of Geographic Location for Cloud Computing Environment;Cloud computing has emerged as a major ICT trend and has been acknowledged as a key theme of industry by prominent ICT organisations. However, one of the major challenges that face the cloud computing concept and its global acceptance is how to secure and protect the data that is the property of the user. The geographic location of cloud data storage centres is an important issue for many organisations and individuals due to the regulations and laws that require data and operations to reside in specific geographic locations. Thus, data owners may need to ensure that their cloud providers do not compromise the SLA contract and move their data into another geographic location. This paper introduces an architecture for a new approach for geographic location assurance, which combines the proof of storage protocol (POS) and the distance-bounding protocol. This allows the client to check where their stored data is located, without relying on the word of the cloud provider. This architecture aims to achieve better security and more flexible geographic assurance within the environment of cloud computing.;;2012;"Albeshri, Aiiad; Boyd, Colin & Nieto, Juan Gonzalez";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6258199 http://dl.acm.org/citation.cfm?id=2355578.2357365;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
25;Formal modeling and dynamic verification of service level agreements in cloud computing;A Service Level Agreement (SLA) defines the contract between a cloud provider and a cloud customer, detailing the resources being provided, the price the user will pay, and the Quality of Service (QoS) guarantees that the cloud provider ensures for the customer. If the QoS guarantees are not upheld, typically the cloud provider is assessed some penalties, such as a payment credit for the customer. Monitoring and enforcing the SLA is an area of open research, and in this research we present the foundations towards a full realization of an SLA monitoring infrastructure. We proposed a formal model that can precisely describe both the SLA QoS guarantees and the penalties assessed for violation. Also, we implemented the proposed model as a dynamic SLA monitoring infrastructure system which is used for automatic SLA enforcement efficiently. Our SLA monitoring system can be deployed in any cloud environment and it can be used to monitor any type of QoS parameters. The performance and efficiency of the proposed SLA framework was measured and proved that our SLA model is efficient and reliable.;;2013;Al-Ghuwairi, Abdel-Rahman F.;http://dl.acm.org/citation.cfm?id=2575052;New Mexico State University;SLA and Cloud;;;;;;;;;;;;;;;;;
26;Service Level Agreement for Distributed Services: A Review;Cloud computing has change the strategy of the way of providing distributed services for many business and government agents. Cloud computing delivers a scalable and on demand services for most users in different domains. This new technology brings many challenges to service providers and customers especially for users who already own complicated legacy systems. This paper examines challenges related to the concepts of trust, SLA management, and cloud computing. We focus on SLA definition in cloud computing to achieve the aim of presenting a clear structure of SLA for cloud users and improve the way of building trustworthy relationship between service provider and customer. In this paper, we start with the presenting the importance of cloud computing and the need of SLA for cloud computing. Then, survey of cloud computing architecture is provided. Then, we discuss existing frameworks of service level agreements in different domains such as web services and grid computing. The last part of literature review discusses advantages and limitations of performance measurement models in SOA, distributed systems, grid computing, and cloud services. Finally, we summarize and conclude our work.;included;2011;"Alhamad, Mohammed; Dillon, Tharam & Chang, Elizabeth";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6118864;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
27;A survey on SLA and performance measurement in cloud computing;Cloud computing has changed the strategy used for providing distributed services to many business and government agents. Cloud computing delivers scalable and on-demand services to most users in different domains. However, this new technology has also created many challenges for service providers and customers, especially for those users who already own complicated legacy systems. This paper reviews the challenges related to the concepts of trust, SLA management, and cloud computing. We begin with a survey of cloud computing architecture. Then, we discuss existing frameworks of service level agreements in different domains such as web services and grid computing. In the last section, we discuss the advantages and limitations of current performance measurement models for SOA, distributed systems, grid computing, and cloud services. Finally, we summarize and conclude our work.;included;2011;"Alhamad, Mohammed; Dillon, Tharam & Chang, Elizabeth";http://dl.acm.org/citation.cfm?id=2075764.2075770;Springer-Verlag;SLA and Cloud;;;;;;;;;;;;;;;;;
28;Conceptual SLA framework for cloud computing;Cloud computing has been a hot topic in the research community since 2007. In cloud computing, the online services are conducted to be pay-as-you-use. Service customers need not be in a long term contract with service providers. Service level agreements (SLAs) are agreements signed between a service provider and another party such as a service consumer, broker agent, or monitoring agent. Because cloud computing is a recent technology providing many services for critical business applications, reliable and flexible mechanisms to manage online contracts are very important. This paper presents the main criteria which should be considered at the stage of designing the SLA in cloud computing. Also, we investigate the negotiation strategies between cloud provider and cloud consumer and propose our method to maintain the trust and reliability between each of the parties involved in the negotiation process.;;2010;"Alhamad, Mohammed; Dillon, Tharam & Chang, Elizabeth";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5610586;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
